energy,ship_to_asteroid,asteroid_to_base,ship_to_base,success
2248.0,26.152651929986725,224.5350214600077,199.0302816250423,1
1617.0,22.921289940221804,376.1661741072812,375.5337657617496,1
1500.0,328.54178320764674,129.15656172442223,212.8166120795401,1
1566.0,220.4117583279204,181.15747418764622,125.4411860432657,0
2348.0,22.287058243160732,187.12218539724947,168.10708913169464,1
1501.0,266.2490516030925,203.7271501500174,76.80400540279037,0
1569.0,149.4369017325243,211.06450581941618,106.10590430217435,0
3657.0,26.69225907493788,201.57891908289892,225.55498623000767,1
1632.0,25.172626174979108,416.3082086370883,397.37041011536246,1
1500.0,191.68287137988375,141.8037701370558,198.24455611365786,1
1502.0,45.69427271298722,97.40052215935467,142.58781508429576,1
1500.0,522.1960378659877,180.88486220575294,360.32111327193013,0
1836.0,23.848846200292975,234.68169638248287,210.93858714996026,0
4248.0,24.353254564709427,110.2587335460365,126.2860999736873,1
3464.0,20.799023199557066,186.91788035464884,189.56239407973175,1
1577.0,23.37035191744239,326.8039858547563,349.4100204125927,0
3378.0,24.894545881131723,394.5005293062227,370.8161996405028,1
2930.0,26.156580837819426,223.27055529603163,229.16682057627474,1
2106.0,26.63020491002767,163.61946057842286,185.36181097879467,1
1924.0,27.440511370111093,170.32279470695607,178.37877516186785,1
1504.0,129.0666943317563,279.0798453653073,279.39236051024847,1
2652.0,47.54708779667785,580.6400594382437,605.0824960015035,1
1942.0,24.16809026096663,156.2832384268592,134.495511015416,1
1502.0,347.81294496895987,349.7207086477716,67.62760211027226,0
4078.0,22.942367610769583,142.20521228451804,119.3289909217921,1
2174.0,17.370408033151723,126.90760419483064,134.7858969739924,1
1505.0,34.1064830489473,106.87053937734684,139.1318323828203,1
1500.0,90.40228807213323,67.21791933980089,23.234799959329482,0
1896.0,130.85726563007657,188.44973074824205,151.15377625036086,0
1505.0,188.62644738034047,354.13499309357775,199.208675944921,0
1500.0,475.1379987233609,414.95054513455494,268.5943567689614,1
1504.0,365.45362101877885,156.0184927857767,210.2986907829755,1
1518.0,127.89577668201532,144.37736595602834,22.180590869293916,0
3041.0,27.76484035599331,306.70037173065475,312.70948651034627,1
1500.0,245.53008896787833,217.50582158225765,96.87327183807687,0
4187.0,25.484252171796076,97.27255248102594,80.61283443934798,1
2335.0,21.784922896663307,263.66892351307985,245.7430099679938,1
2017.0,19.937337712318676,431.2268506746214,417.3273301699024,0
1514.0,287.58018900980534,281.07503313685976,23.397139158086645,0
